Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKA,PKsv,PKm,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Sh_90,SoT_Rate,Def_Actions_90,Fls_90,Crs_90,Cards_90,PlusMinus_90,CS_Rate,PKsv_Rate,SoTA_90,onGA_90,onG_90,Ast_90,Off_90,Fld_90,TklW_90,Int_90,MinPct
Virgil van Dijk,NED,DF,Liverpool,Premier League,34,1991,33,33,2970,33.0,4,0,4,4,0,0,4,0,0.12,,1.37,,,,,,,,,,,,24,11,45.8,0.73,0.33,0.17,0.36,90,100.0,90.0,33,0,,0,1.67,54,43,11,0.33,,0,16,15,1,1,19,15,0,0.7272727272727273,0.4583333333333333,1.0303030303030303,0.48484848484848486,0.030303030303030304,0.12121212121212122,0.33,0.0,0.0,0.0,1.303030303030303,1.6363636363636365,0.0,0.030303030303030304,0.45454545454545453,0.45454545454545453,0.5757575757575758,100.0
Bart Verbruggen,NED,GK,Brighton,Premier League,23,2002,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,39.0,1.18,127.0,92.0,73.2,12.0,11.0,10.0,8.0,24.2,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.42,45,39,6,0.18,,0,2,2,0,0,0,1,1,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.09090909090909091,0.18,0.24242424242424243,0.2,3.8484848484848486,1.1818181818181819,1.3636363636363635,0.0,0.0,0.06060606060606061,0.030303030303030304,0.0,100.0
David de Gea,ESP,GK,Fiorentina,Serie A,35,1990,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,45.0,1.36,142.0,103.0,71.8,8.0,12.0,13.0,7.0,21.2,5.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.09,38,45,-7,-0.21,,0,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,-0.21,0.21212121212121213,0.2,4.303030303030303,1.3636363636363635,1.1515151515151516,0.0,0.0,0.15151515151515152,0.0,0.0,100.0
Elia Caprile,ITA,GK,Cagliari,Serie A,24,2001,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,47.0,1.42,150.0,104.0,70.0,8.0,9.0,16.0,7.0,21.2,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.0,33,47,-14,-0.42,,0,0,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,-0.42,0.21212121212121213,0.0,4.545454545454546,1.4242424242424243,1.0,0.0,0.0,0.24242424242424243,0.0,0.0,100.0
Marco Carnesecchi,ITA,GK,Atalanta,Serie A,25,2000,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,29.0,0.88,124.0,97.0,77.4,14.0,12.0,7.0,12.0,36.4,1.0,2.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.64,45,29,16,0.48,,0,1,5,0,1,0,0,0,0.0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.48,0.36363636363636365,2.0,3.757575757575758,0.8787878787878788,1.3636363636363635,0.0,0.0,0.15151515151515152,0.0,0.0,100.0
Bernd Leno,GER,GK,Fulham,Premier League,34,1992,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,46.0,1.39,127.0,84.0,66.1,13.0,6.0,14.0,7.0,21.2,3.0,0.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.36,43,46,-3,-0.09,,0,0,5,0,0,1,1,1,0.0,0.0,0.06060606060606061,0.0,0.0,0.09090909090909091,-0.09,0.21212121212121213,0.0,3.8484848484848486,1.393939393939394,1.303030303030303,0.0,0.0,0.15151515151515152,0.030303030303030304,0.030303030303030304,100.0
Jordan Pickford,ENG,GK,Everton,Premier League,32,1994,33,33,2970,33.0,0,0,0,0,0,0,4,0,0.0,39.0,1.18,125.0,90.0,71.2,13.0,8.0,12.0,11.0,33.3,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.42,40,39,1,0.03,,0,1,6,0,0,0,1,0,0.0,0.0,0.030303030303030304,0.030303030303030304,0.0,0.12121212121212122,0.03,0.3333333333333333,0.3333333333333333,3.787878787878788,1.1818181818181819,1.2121212121212122,0.0,0.0,0.18181818181818182,0.030303030303030304,0.0,100.0
Jean Butez,FRA,GK,Como,Serie A,30,1995,33,33,2970,33.0,0,1,1,0,0,0,3,0,0.03,28.0,0.85,103.0,79.0,76.7,16.0,10.0,7.0,15.0,45.5,4.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.76,57,28,29,0.88,,0,0,8,0,0,0,1,0,0.0,0.0,0.030303030303030304,0.0,0.0,0.09090909090909091,0.88,0.45454545454545453,0.25,3.121212121212121,0.8484848484848485,1.7272727272727273,0.030303030303030304,0.0,0.24242424242424243,0.030303030303030304,0.0,100.0
Mile Svilar,SRB,GK,Roma,Serie A,26,1999,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,29.0,0.88,126.0,98.0,77.8,18.0,4.0,11.0,14.0,42.4,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.76,46,29,17,0.52,,0,0,7,0,0,1,1,0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.52,0.42424242424242425,0.0,3.8181818181818183,0.8787878787878788,1.393939393939394,0.0,0.0,0.21212121212121213,0.030303030303030304,0.030303030303030304,100.0
Đorđe Petrović,SRB,GK,Bournemouth,Premier League,26,1999,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,50.0,1.52,142.0,98.0,69.0,11.0,15.0,7.0,9.0,27.3,6.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,1.45,50,50,0,0.0,,0,0,2,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.2727272727272727,0.0,4.303030303030303,1.5151515151515151,1.5151515151515151,0.0,0.0,0.06060606060606061,0.0,0.0,100.0
Nikola Milenković,SRB,DF,Nottingham Forest,Premier League,28,1997,33,33,2970,33.0,0,0,0,0,0,0,6,0,0.0,,1.37,,,,,,,,,,,,15,1,6.7,0.45,0.03,0.0,0.0,90,100.0,90.0,33,0,,0,1.09,36,45,-9,-0.27,,0,15,18,1,2,28,16,1,0.45454545454545453,0.06666666666666667,1.3333333333333333,0.45454545454545453,0.06060606060606061,0.18181818181818182,-0.27,0.0,0.0,0.0,1.3636363636363635,1.0909090909090908,0.0,0.030303030303030304,0.5454545454545454,0.48484848484848486,0.8484848484848485,100.0
David Raya,ESP,GK,Arsenal,Premier League,30,1995,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,26.0,0.79,79.0,52.0,67.1,21.0,7.0,5.0,15.0,45.5,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,2.12,63,26,37,1.12,,0,0,11,0,1,1,1,0,0.0,0.0,0.06060606060606061,0.0,0.030303030303030304,0.030303030303030304,1.12,0.45454545454545453,0.0,2.393939393939394,0.7878787878787878,1.9090909090909092,0.0,0.0,0.3333333333333333,0.030303030303030304,0.030303030303030304,100.0
Wladimiro Falcone,ITA,GK,Lecce,Serie A,31,1995,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.0,46.0,1.39,129.0,89.0,67.4,7.0,7.0,19.0,8.0,24.2,4.0,2.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,0.85,22,46,-24,-0.73,,0,0,7,0,0,0,2,0,0.0,0.0,0.06060606060606061,0.0,0.0,0.06060606060606061,-0.73,0.24242424242424243,0.5,3.909090909090909,1.393939393939394,0.6666666666666666,0.0,0.0,0.21212121212121213,0.06060606060606061,0.0,100.0
Martin Dúbravka,SVK,GK,Burnley,Premier League,37,1989,33,33,2970,33.0,0,0,0,0,0,0,1,0,0.0,67.0,2.03,175.0,114.0,65.1,4.0,8.0,21.0,4.0,12.1,6.0,0.0,1.0,0,0,,0.0,0.0,,,90,100.0,90.0,33,0,,0,0.61,34,67,-33,-1.0,,0,0,7,0,0,0,1,0,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,-1.0,0.12121212121212122,0.0,5.303030303030303,2.0303030303030303,1.0303030303030303,0.0,0.0,0.21212121212121213,0.030303030303030304,0.0,100.0
James Garner,ENG,MF,Everton,Premier League,25,2001,33,33,2963,32.9,2,6,8,2,0,0,9,0,0.24,,1.37,,,,,,,,,,,,42,12,28.6,1.28,0.36,0.05,0.17,90,99.8,90.0,32,0,,0,1.42,40,39,1,0.03,0.03,0,31,32,0,171,51,61,0,1.2765957446808511,0.2857142857142857,3.404255319148936,0.9422492401215806,5.197568389057751,0.27355623100303955,0.03,0.0,0.0,0.0,1.1854103343465046,1.21580547112462,0.182370820668693,0.0,0.9726443768996961,1.8541033434650456,1.5501519756838906,99.8
Jarrod Bowen,ENG,MF,West Ham United,Premier League,29,1996,33,33,2957,32.9,8,8,16,7,1,1,4,0,0.46,,1.37,,,,,,,,,,,,71,24,33.8,2.16,0.73,0.1,0.29,90,99.6,90.0,29,0,,0,1.0,40,55,-15,-0.46,13.39,0,18,45,17,124,24,24,0,2.1580547112462005,0.3380281690140845,1.458966565349544,0.5471124620060791,3.7689969604863225,0.12158054711246201,-0.46,0.0,0.0,0.0,1.6717325227963526,1.21580547112462,0.24316109422492402,0.5167173252279635,1.3677811550151977,0.729483282674772,0.729483282674772,99.6
