Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,32,26,2137,23.7,4,5,9,4,0,0,2,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,1,us USA,"MF,FW",eng Premier League,25-181,2000,23.7,4,42,15,35.7,1.77,0.63,0.10,0.27,0,0,1,us USA,"MF,FW",eng Premier League,25-181,2000,32,2137,67,72.0,23.7,26,77,2,6,21,1,1.13,34,27,+7,+0.29,+1.81,1,us USA,"MF,FW",eng Premier League,25-181,2000,23.7,2,0,0,18,47,5,36,14,22,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,2,eng ENG,DF,eng Premier League,19-343,2006,1.3,0,0,0,,0.00,0.00,,,0,0,3,eng ENG,DF,eng Premier League,19-343,2006,2,120,60,4.0,1.3,1,75,0,1,45,11,0.00,0,4,-4,-3.00,-2.84,2,eng ENG,DF,eng Premier League,19-343,2006,1.3,0,0,0,2,1,0,3,2,2,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,20,4,638,7.1,2,0,2,2,0,0,0,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,3,ma MAR,"MF,FW",es La Liga,20-099,2006,7.1,2,16,4,25.0,2.26,0.56,0.13,0.50,0,0,5,ma MAR,"MF,FW",es La Liga,20-099,2006,20,638,32,22.9,7.1,4,75,1,16,21,11,1.55,16,11,+5,+0.71,+0.75,3,ma MAR,"MF,FW",es La Liga,20-099,2006,7.1,0,0,0,5,3,2,26,3,3,0
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,7,1,128,1.4,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,4,dz ALG,MF,fr Ligue 1,26-155,1999,1.4,0,4,1,25.0,2.81,0.70,0.00,0.00,0,0,6,dz ALG,MF,fr Ligue 1,26-155,1999,7,128,18,4.7,1.4,1,58,0,6,12,2,1.00,2,7,-5,-3.52,-4.32,4,dz ALG,MF,fr Ligue 1,26-155,1999,1.4,1,0,0,3,0,0,1,1,1,0
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,5,dz ALG,MF,fr Ligue 1,26-155,1999,10.5,2,11,5,45.5,1.05,0.48,0.00,0.00,2,2,7,dz ALG,MF,fr Ligue 1,26-155,1999,13,943,73,34.9,10.5,11,81,4,2,25,0,1.38,12,13,-1,-0.10,+0.57,5,dz ALG,MF,fr Ligue 1,26-155,1999,10.5,1,0,0,16,12,1,9,13,17,0
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,18,12,1035,11.5,2,0,2,2,0,0,4,1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,6,tn TUN,"MF,DF",fr Ligue 1,32-122,1993,11.5,2,9,2,22.2,0.78,0.17,0.22,1.00,0,0,9,tn TUN,"MF,DF",fr Ligue 1,32-122,1993,18,1035,58,38.3,11.5,12,74,6,6,24,2,0.67,17,16,+1,+0.09,+1.33,6,tn TUN,"MF,DF",fr Ligue 1,32-122,1993,11.5,4,1,1,18,16,0,30,10,8,0
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000,15,10,753,8.4,0,0,0,0,0,0,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,7,gh GHA,MF,fr Ligue 1,26-026,2000,8.4,0,1,0,0.0,0.12,0.00,0.00,,0,0,10,gh GHA,MF,fr Ligue 1,26-026,2000,15,753,50,27.9,8.4,10,67,2,5,17,11,1.13,13,15,-2,-0.24,+0.69,7,gh GHA,MF,fr Ligue 1,26-026,2000,8.4,3,0,0,18,8,0,1,10,7,0
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,22,12,1188,13.2,2,3,5,2,0,0,3,0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,8,sa KSA,MF,fr Ligue 1,26-277,1999,13.2,2,7,3,42.9,0.53,0.23,0.29,0.67,0,0,11,sa KSA,MF,fr Ligue 1,26-277,1999,22,1188,54,45.5,13.2,12,86,8,10,16,6,1.86,28,17,+11,+0.83,-0.24,8,sa KSA,MF,fr Ligue 1,26-277,1999,13.2,3,0,0,21,13,1,43,9,20,0
9,Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,9,il ISR,MF,es La Liga,22-044,2004,0.4,0,0,0,,0.00,0.00,,,0,0,12,il ISR,MF,es La Liga,22-044,2004,4,40,10,1.4,0.4,0,,0,4,10,7,1.00,1,2,-1,-2.25,-1.79,9,il ISR,MF,es La Liga,22-044,2004,0.4,0,0,0,1,2,0,2,1,1,0
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,24,23,2004,22.3,1,0,1,1,0,0,6,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,10,fr FRA,MF,fr Ligue 1,33-079,1993,22.3,1,20,5,25.0,0.90,0.22,0.05,0.20,0,0,13,fr FRA,MF,fr Ligue 1,33-079,1993,24,2004,84,74.2,22.3,23,86,17,1,22,0,1.46,32,36,-4,-0.18,-0.18,10,fr FRA,MF,fr Ligue 1,33-079,1993,22.3,6,0,0,23,23,0,9,25,22,0
